id,paragraph,tokens
1,"CHAPTER I. HOW THE AGRICULTURAL SYSTEM OF THE BLACK BROTHERS WAS INTERFERED WITH BY SOUTH-WEST WIND, ESQUIRE.",chapter i. agricultural system black brother interfer wind 
2,,
3," In a secluded and mountainous part of Stiria there was, in old time, a valley of the most surprising and luxuriant fertility. It was surrounded, on all sides, by steep and rocky mountains, rising into peaks, which were always covered with snow, and from which a number of torrents descended in constant cataracts. One of these fell westward, over the face of a crag so high, that, when the sun had set to everything else, and all below was darkness, his beams still shone full upon this waterfall, so that it looked like a shower of gold. It was, therefore, called by the people of the neighbourhood, the Golden River. It was strange that none of these streams fell into the valley itself. They all descended on the other side of the mountains, and wound away through broad plains and by populous cities. But the clouds were drawn so constantly to the snowy hills, and rested so softly in the circular hollow, that in time of drought and heat, when all the country round was burnt up, there was still rain in the little valley; and its crops were so heavy, and its hay so high, and its apples so red, and its grapes so blue, and its wine so rich, and its honey so sweet, that it was a marvel to every one who beheld it, and was commonly called the Treasure Valley.",secluded mountainous part be old time valley surprising luxuriant fertility surround side steep rocky mountain rise peak cover snow number torrent descend constant cataract fall face crag high sun set else darkness beam shine full waterfall look shower gold call person neighbourhood golden strange stream fall valley descend other side mountain wind broad plain populous city cloud draw snowy hill rest circular hollow time drought heat country round burn be rain little valley crop heavy hay high apple red grape blue wine rich honey sweet marvel one beheld call 
4,"The whole of this little valley belonged to three brothers, called Schwartz, Hans, and Gluck. Schwartz and Hans, the two elder brothers, were very ugly men, with over-hanging eyebrows and small dull eyes, which were always half shut, so that you couldn't see into _them_, and always fancied they saw very far into _you_. They lived by farming the Treasure Valley, and very good farmers they were. They killed everything that did not pay for its eating. They shot the blackbirds, because they pecked the fruit; and killed the hedgehogs, lest they should suck the cows; they poisoned the crickets for eating the crumbs in the kitchen; and smothered the cicadas, which used to sing all summer in the lime trees. They worked their servants without any wages, till they would not work any more, and then quarrelled with them, and turned them out of doors without paying them. It would have been very odd, if with such a farm, and such a system of farming, they hadn't got very rich; and very rich they _did_ get. They generally contrived to keep their corn by them till it was very dear, and then sell it for twice its value; they had heaps of gold lying about on their floors, yet it was never known that they had given so much as a penny or a crust in charity; they never went to mass; grumbled perpetually at paying tithes; and were, in a word, of so cruel and grinding a temper, as to receive from all those with whom they had any dealings, the nickname of the ""Black Brothers.""",whole little valley belong brother call elder brother ugly man hanging eyebrow small dull eye half shut see _them_ fancy see live farming good farmer kill pay eating shoot blackbird peck fruit kill hedgehog suck cow poison cricket eat crumb kitchen smother cicada use sing summer lime tree work servant wage work more quarrell turn door pay odd farm system farming get rich rich get contrive keep corn dear sell value have heap gold lie floor know give much penny crust charity go mass grumble pay tithe word cruel grind temper receive have dealing nickname black 
5,"The youngest brother, Gluck, was as completely opposed, in both appearance and character, to his seniors as could possibly be imagined or desired. He was not above twelve years old, fair, blue-eyed, and kind in temper to every living thing. He did not, of course, agree particularly well with his brothers, or rather, they did not agree with _him_. He was usually appointed to the honourable office of turnspit, when there was anything to roast, which was not often; for, to do the brothers justice, they were hardly less sparing upon themselves than upon other people. At other times he used to clean the shoes, floors, and sometimes the plates, occasionally getting what was left on them, by way of encouragement, and a wholesome quantity of dry blows, by way of education.",young brother oppose appearance character senior imagine desire year old fair blue eyed kind temper living thing course agree brother agree appoint honourable office turnspit be roast do brother justice spare other person other time use clean shoe floor plate get leave way encouragement wholesome quantity dry blow way education 
6,"Things went on in this manner for a long time. At last came a very wet summer, and everything went wrong in the country around. The hay had hardly been got in, when the haystacks were floated bodily down to the sea by an inundation; the vines were cut to pieces with the hail; the corn was all killed by a black blight; only in the Treasure Valley, as usual, all was safe. As it had rain when there was rain no where else, so it had sun when there was sun no where else. Every body came to buy corn at the farm, and went away pouring maledictions on the Black Brothers. They asked what they liked, and got it, except from the poor people, who could only beg, and several of whom were starved at their very door, without the slightest regard or notice.",thing go manner long time last come wet summer go wrong country hay get haystack float sea inundation vine cut piece hail corn kill black blight usual safe have rain be rain else have sun be sun else body come buy corn farm go pour malediction black ask like get poor person beg several starve very door slight regard notice 
7,"It was drawing towards winter, and very cold weather, when one day the two elder brothers had gone out, with their usual warning to little Gluck, who was left to mind the roast, that he was to let nobody in, and give nothing out. Gluck sat down quite close to the fire, for it was raining very hard, and the kitchen walls were by no means dry or comfortable looking. He turned and turned, and the roast got nice and brown. ""What a pity,"" thought Gluck, ""my brothers never ask any body to dinner. I'm sure, when they've got such a nice piece of mutton as this, and nobody else has got so much as a piece of dry bread, it would do their hearts good to have somebody to eat it with them.""",draw winter cold weather day elder brother go usual warning little leave mind roast let give sit fire rain kitchen wall means dry comfortable look turn turn roast get nice brown pity think brother ask body dinner sure get nice piece mutton else get much piece dry bread do heart good have eat 
8,"Just as he spoke, there came a double knock at the house door, yet heavy and dull, as though the knocker had been tied up--more like a puff than a knock.",speak come double knock house door heavy dull knocker tie puff knock 
9,"""It must be the wind,"" said Gluck; ""nobody else would venture to knock double knocks at our door.""",wind say else venture knock double knock door 
10,"No; it wasn't the wind: there it came again very hard, and what was particularly astounding, the knocker seemed to be in a hurry, and not to be in the least afraid of the consequences. Gluck went to the window, opened it, and put his head out to see who it was.",wind come astounding knocker seem hurry least afraid consequence go window open put head see 
