id,paragraph,tokens
1,CHAPTER I. MADEMOISELLE JEANNE.,
2,"          ""Maitre Corbeau, sur un arbre perché.""                                LA FONTAINE.",
3," It was so cold. Ah, so very cold! So thought the old raven as he hobbled up and down the terrace walk at the back of the house--the walk that was so pleasant in summer, with its pretty view of the lower garden, gay with the bright, stiffly-arranged flowerbeds, so pleasantly warm and yet shady with the old trees overhead, where the raven's second cousins, the rooks, managed their affairs, not without a good deal of chatter about it, it must be confessed. ""Silly creatures,"" the raven was in the habit of calling them with contempt--all to himself, of course, for no one understood the different tones of his croaking, even though he was a French raven and had received the best of educations. But to-day he was too depressed in spirit by the cold to think of his relations or their behaviour at all. He just hopped or hobbled--I hardly know which you would call it--slowly and solemnly up and down the long walk, where the snow lay so thick that at each hop it came ever so far up his black claws, which annoyed him very much, I assure you, and made him wish more than ever that summer was back again.",cold cold think old raven hobble terrace walk back house walk pleasant summer pretty view low garden gay bright arrange flowerbed warm shady old tree raven second cousin rook manage affair good deal chatter confess silly creature raven habit call contempt course understand different tone croaking french raven receive good education day depressed spirit cold think relation behaviour hopp hobble know call long walk snow lay thick hop come black claw annoy assure make wish more summer 
4,"Poor old fellow! he was not usually of a discontented disposition; but to-day, it must be allowed, he was in the right about the cold. It was _very_ cold.",poor old fellow discontented disposition day allow right cold cold 
5,"Several others beside the raven were thinking so--the three chickens who lived in a queer little house in one corner of the yard thought so, and huddled the closer together, as they settled themselves for the night. For though it was only half-past three in the afternoon, they thought it was no use sitting up any longer on such a make-believe of a day, when not the least little ray of sunshine had succeeded in creeping through the leaden-grey sky. And the tortoise _would_ have thought so too if he could, but he was too sleepy to think at all, as he ""cruddled"" himself into his shell in the corner of the laurel hedge, and dreamt of the nice hot days that were past.",several other raven think chicken live queer little house corner yard think huddle close settle night half past afternoon think use sit make believe day least little ray sunshine succeed creep leaden grey sky tortoise _would_ think sleepy think cruddle shell corner laurel hedge dreamt nice hot day past 
6,"And upstairs, inside the old house, somebody else was thinking so too--a little somebody who seemed to be doing her best to make herself, particularly her nose, colder still, for she was pressing it hard on to the icy window-pane and staring out on to the deserted, snow-covered garden, and thinking how cold it was, and wishing it was summer time again, and fancying how it would feel to be a raven like old ""Dudu,"" all at once, in the mixed-up, dancing-about way that ""thinking"" was generally done in the funny little brain of Mademoiselle Jeanne.",old house else think little seem do good make nose cold press icy window pane stare desert snow cover garden think cold wish summer time fancy feel raven old mix up dancing way thinking do funny little brain 
7,"Inside the room it was getting dark, and the white snow outside seemed to make it darker.",room get dark white snow seem make dark 
8,"""Mademoiselle Jeanne,"" said a voice belonging to a servant who just then opened the door; ""Mademoiselle Jeanne, what are you doing at the window? You will catch cold.""",say voice belong servant open door do window catch cold 
9,"Jeanne gave a little start when she heard herself spoken to. She had been all alone in the room for some time, with not a sound about her. She turned slowly from the window and came near the fire.",give little start hear speak alone room time sound turn window come fire 
10,"""If I did catch cold, it would not be bad,"" she said. ""I would stay in bed, and you, Marcelline, would make me nice things to eat, and nobody would say, 'Don't do that, Mademoiselle.' It would be charming.""",catch cold bad say stay bed make nice thing eat say do charming 
11,"Marcelline was Jeanne's old nurse, and she had been her mother's nurse too. She was really rather old, how old nobody seemed exactly to know, but Jeanne thought her _very_ old, and asked her once if she had not been her grandmother's nurse too. Any one else but Marcelline would have been offended at such a question; but Marcelline was not like any one else, and she never was offended at anything. She was so old that for many years no one had seen much difference in her--she had reached a sort of settled oldness, like an arm-chair which may once have been covered with bright-coloured silk, but which, with time and wear, has got to have an all-over-old look which never seems to get any worse. Not that Marcelline was dull or grey to look at--she was bright and cheery, and when she had a new clean cap on, all beautifully frilled and crimped round her face, Jeanne used to tell her that she was beautiful, quite beautiful, and that if she was _very_ good and always did exactly what Jeanne asked her, she--Jeanne--would have her to be nurse to her children when she had grown up to be a lady, married to some very nice gentleman.",old nurse mother nurse old old seem know think _very_ old ask grandmother nurse one else offend question one else offend old many year see much difference reach sort settle oldness arm chair cover bright coloured silk time wear get have old look seem get bad dull grey look bright cheery have new clean cap frill crimp face use tell beautiful beautiful good do ask have nurse child grow lady marry nice gentleman 
12,"And when Jeanne chattered like that, Marcelline used to smile; she never said anything, she just smiled. Sometimes Jeanne liked to see her smile; sometimes it would make her impatient, and she would say, ""Why do you smile like that, Marcelline? _Speak!_ When I speak I like you to speak too.""",chatter use smile say smile like see smile make impatient say smile speak like speak 
13,"But all she could get Marcelline to answer would be, ""Well, Mademoiselle, it is very well what you say.""",get answer say 
14,"This evening--or perhaps I should say afternoon, for whatever hour the chickens' timepiece made it, it was only half-past three by the great big clock that stood at the end of the long passage by Jeanne's room door;--this afternoon Jeanne was not quite as lively as she sometimes was. She sat down on the floor in front of the fire and stared into it. It was pretty to look at just then, for the wood was burning redly, and at the tiniest touch a whole bevy of lovely sparks would fly out like bees from a hive, or a covey of birds, or better still, like a thousand imprisoned fairies escaping at some magic touch. Of all things, Jeanne loved to give this magic touch. There was no poker, but she managed just as well with a stick of unburnt wood, or sometimes, when she was _quite_ sure Marcelline was not looking, with the toe of her little shoe. Just now it was Marcelline who set the fairy sparks free by moving the logs a little and putting on a fresh one behind.",evening say afternoon hour chicken timepiece make half great big clock stand end long passage room door afternoon lively sit floor front fire stare look wood burn tiniest touch whole bevy lovely spark fly bee hive covey bird imprison fairy escape magic touch thing love give magic touch be poker manage stick unburnt wood _quite_ sure look toe little shoe set fairy spark free move log little put fresh one 
15,"""How pretty they are, are they not, Marcelline?"" said Jeanne.",say 
16,"Marcelline did not speak, and when Jeanne looked up at her, she saw by the light of the fire that she was smiling. Jeanne held up her forefinger.",speak look see light fire smile hold forefinger 
17,"""Naughty Marcelline,"" she said; ""you are not to smile. You are to _speak_. I want you to speak very much, for it is so dull, and I have nothing to do. I want you to tell me stories, Marcelline. Do you hear, you naughty little thing?""",naughty say smile _speak_ want speak dull have do want tell story hear naughty little thing 
18,"""And what am I to tell you stories about then, Mademoiselle? You have got all out of my old head long ago; and when the grain is all ground what can the miller do?""",tell story get old head grain ground miller do 
19,"""Get some more, of course,"" said Jeanne. ""Why, _I_ could make stories if I tried, I daresay, and I am only seven, and you who are a hundred--are you _quite_ a hundred, Marcelline?""",get more course say make story try 
20,Marcelline shook her head.,shake head 
21,"""Not _quite_, Mademoiselle,"" she said.",say 
22,"""Well, never mind, you are old enough to make stories, any way. Tell me more about the country where you lived when you were little as I; the country you will never tell me the name of. Oh, I do like that one about the Golden Princess shut up in the castle by the sea! I like stories about princesses best of all. I do wish I were a princess; next to my best wish of all, I wish to be a princess. Marcelline, do you hear? I want you to tell me a story.""",mind old make story way tell more country live little country tell name like golden shut castle sea like story princess good wish princess good wish wish princess hear want tell story 
23,Still Marcelline did not reply. She in her turn was looking into the fire. Suddenly she spoke.,reply turn look fire speak 
24,"""One, two, three,"" she said. ""Quick, now, Mademoiselle, quick, quick. Wish a wish before that last spark is gone. Quick, Mademoiselle.""",say quick quick quick wish wish last spark gone quick 
25,"""Oh dear, what shall I wish?"" exclaimed Jeanne. ""When you tell me to be quick it all goes out of my head; but I know now. I wish----""",dear wish exclaim tell quick go head know wish 
26,"""Hush, Mademoiselle,"" said Marcelline, quickly again. ""You must not say it aloud. Never mind, it is all right. You have wished it before the spark is gone. It will come true, Mademoiselle.""",say say mind right wish spark gone come true 
27,Jeanne's bright dark eyes glanced up at Marcelline with an expression of mingled curiosity and respect.,bright dark eye glance expression mingle curiosity respect 
28,"""How do you know it will come true?"" she said.",know come true say 
29,"Marcelline's old eyes, nearly as bright and dark still as Jeanne's own, had a half-mischievous look in them as she replied, solemnly shaking her head,",old eye bright dark own have half mischievous look reply shake head 
30,"""I know, Mademoiselle, and that is all I can say. And when the time comes for your wish to be granted, you will see if I am not right.""",know say time come wish grant see right 
