id,paragraph,tokens
1,"CHAPTER I. PRISSY, HUGH JOHN, AND SIR TOADY LION.",prissy 
2," It is always difficult to be great, but it is specially difficult when greatness is thrust upon one, as it were, along with the additional burden of a distinguished historical name. This was the case with General Napoleon Smith. Yet when this story opens he was not a general. That came later, along with the cares of empire and the management of great campaigns.",difficult great difficult greatness thrust additional burden distinguished historical name case story open general come care empire management great campaign 
3,"But already in secret he was Napoleon Smith, though his nurse sometimes still referred to him as Johnnie, and his father--but stay. I will reveal to you the secret of our soldier's life right at the start. Though a Napoleon, our hero was no Buonaparte. No, his name was Smith--plain Smith; his father was the owner of four large farms and a good many smaller ones, near that celebrated Border which separates the two hostile countries of England and Scotland. Neighbours referred to the General's father easily as ""Picton Smith of Windy Standard,"" from the soughing, mist-nursing mountain of heather and fir-trees which gave its name to the estate, and to the large farm he had cultivated himself ever since the death of his wife, chiefly as a means of distracting his mind, and keeping at a distance loneliness and sad thoughts.",secret nurse refer father stay reveal secret soldier life start hero name plain father owner large farm good many small one celebrate border separate hostile country neighbour refer father windy soughing mist nursing mountain heather fir tree give name estate large farm cultivate death wife means distract mind keep distance loneliness sad thought 
4,"Hugh John Smith had never mentioned the fact of his Imperial descent to his father, but in a moment of confidence he had told his old nurse, who smiled with a world-weary wisdom, which betrayed her knowledge of the secrets of courts--and said that doubtless it was so. He had also a brother and sister, but they were not, at that time, of the race of the Corporal of Ajaccio. On the contrary, Arthur George, the younger, aged five, was an engine-driver. There was yet another who rode in a mail-cart, and puckered up his face upon being addressed in a strange foreign language, as ""Was-it-then? A darling--goo-goo--then it was!"" This creature, however, was not owned as a brother by Hugh John and Arthur George, and indeed may at this point be dismissed from the story. The former went so far as stoutly to deny his brother's sex, in the face of such proofs as were daily afforded by Baby's tendency to slap his sister's face wherever they met, and also to seize things and throw them on the floor for the pleasure of seeing them break. Arthur George, however, had secret hopes that Baby would even yet turn out a satisfactory boy whenever he saw him killing flies on the window, and on these occasions hounded him on to yet deadlier exertions. But he dared not mention his anticipations to his soldier brother, that haughty scion of an Imperial race. For reasons afterwards to be given, Arthur George was usually known as Toady Lion.",mention fact imperial descent father moment confidence tell old nurse smile world weary wisdom betray knowledge secret court say have brother sister time race contrary young aged engine driver be ride mail cart pucker face address strange foreign language darling creature own brother point dismiss story former go deny brother sex face such proof afford tendency slap sister face meet seize thing throw floor pleasure see break have secret hope turn satisfactory boy see kill fly window occasion hound deadly exertion mention anticipation soldier brother haughty scion imperial race reason give know 
5,"Then Hugh John had a sister. Her name was Priscilla. Priscilla was distinguished also, though not in a military sense. She was literary, and wrote books ""on the sly,"" as Hugh John said. He considered this secrecy the only respectable part of a very shady business. Specially he objected to being made to serve as the hero of Priscilla's tales, and went so far as to promise to ""thump"" his sister if he caught her introducing him as of any military rank under that of either general or colour-sergeant.",have sister name distinguish military sense literary write book sly say consider secrecy only respectable part shady business object make serve hero tale go promise thump sister catch introduce military rank general colour sergeant 
6,"""Look here, Pris,"" he said on one occasion, ""if you put me into your beastly girl books all about dolls and love and trumpery, I'll bat you over the head with a wicket!""",look say occasion put beastly girl book doll love trumpery bat head wicket 
7,"""Hum--I dare say, if you could catch me,"" said Priscilla, with her nose very much in the air.",say catch say nose air 
8,"""Catch you! I'll catch and bat you now if you say much.""",catch catch bat say much 
9,"""Much, much! Can't, can't! There! 'Fraid cat! Um-m-um!""",much much fraid cat 
10,"""By Jove, then, I just will!""",
11,"It is sad to be obliged to state here, in the very beginning of these veracious chronicles, that at this time Prissy and Napoleon Smith were by no means model children, though Prissy afterwards marvellously improved. Even their best friends admitted as much, and as for their enemies--well, their old gardener's remarks when they chased each other over his newly planted beds would be out of place even in a military periodical, and might be the means of preventing a book with Mr. Gordon Browne's nice pictures from being included in some well-conducted Sunday-school libraries.",sad oblige state very beginning veracious chronicle time means model child improve good friend admit much enemy old gardener remark chase other plant bed place military periodical means prevent book nice picture include conduct school library 
