id,paragraph,tokens
1,CHAPTER V. RUGBY AND FOOTBALL.,
2,      “Foot and eye opposed      In dubious strife.”--Scott.,foot eye oppose dubious strife 
3,"“And so here’s Rugby, sir, at last, and you’ll be in plenty of time for dinner at the School-house, as I telled you,” said the old guard, pulling his horn out of its case and tootle-tooing away, while the coachman shook up his horses, and carried them along the side of the school close, round Dead-man’s corner, past the school-gates, and down the High Street to the Spread Eagle, the wheelers in a spanking trot, and leaders cantering, in a style which would not have disgraced “Cherry Bob,” “ramping, stamping, tearing, swearing Billy Harwood,” or any other of the old coaching heroes.",last plenty time dinner house tell say old guard pull horn case tootle too coachman shake horse carry side school close dead man corner school gate high wheeler spanking trot leader canter style disgrace ramp stamp tear swear other old coaching hero 
4,"Tom’s heart beat quick as he passed the great schoolfield or close, with its noble elms, in which several games at football were going on, and tried to take in at once the long line of gray buildings, beginning with the chapel, and ending with the School-house, the residence of the head-master, where the great flag was lazily waving from the highest round tower. And he began already to be proud of being a Rugby boy, as he passed the schoolgates, with the oriel window above, and saw the boys standing there, looking as if the town belonged to them, and nodding in a familiar manner to the coachman, as if any one of them would be quite equal to getting on the box, and working the team down street as well as he.",heart beat pass great schoolfield close noble elm several game football go try take long line gray building begin chapel end house residence head master great flag wave high round tower begin proud boy pass schoolgate oriel window see boy stand look town belong nodd familiar manner coachman one equal get box work team street 
5,"One of the young heroes, however, ran out from the rest, and scrambled up behind; where, having righted himself, and nodded to the guard, with “How do, Jem?” he turned short round to Tom, and after looking him over for a minute, began,--",young hero run rest scramble right nod guard turn short look minute begin 
6,"“I say, you fellow, is your name Brown?”",say fellow name 
7,"“Yes,” said Tom, in considerable astonishment, glad, however, to have lighted on some one already who seemed to know him.",say considerable astonishment glad light one seem know 
8,"“Ah, I thought so. You know my old aunt, Miss East. She lives somewhere down your way in Berkshire. She wrote to me that you were coming to-day, and asked me to give you a lift.”",think know old aunt live way write come day ask give lift 
9,"Tom was somewhat inclined to resent the patronizing air of his new friend, a boy of just about his own height and age, but gifted with the most transcendent coolness and assurance, which Tom felt to be aggravating and hard to bear, but couldn’t for the life of him help admiring and envying--especially when young my lord begins hectoring two or three long loafing fellows, half porter, half stableman, with a strong touch of the blackguard, and in the end arranges with one of them, nicknamed Cooey, to carry Tom’s luggage up to the School-house for sixpence.",inclined resent patronizing air new friend boy own height age gift transcendent coolness assurance feel aggravating hard bear life help admire envy young lord begin hector long loafing fellow half porter half stableman strong touch blackguard end arrange nickname carry luggage house sixpence 
10,"“And hark ‘ee, Cooey; it must be up in ten minutes, or no more jobs from me. Come along, Brown.” And away swaggers the young potentate, with his hands in his pockets, and Tom at his side.",hark minute more job come swagger young potentate hand pocket side 
