id,paragraph,tokens
1,CHAPTER 8. At the Sign of the Spy-glass,chapter sign glass 
2,"WHEN I had done breakfasting the squire gave me a note addressed to John Silver, at the sign of the Spy-glass, and told me I should easily find the place by following the line of the docks and keeping a bright lookout for a little tavern with a large brass telescope for sign. I set off, overjoyed at this opportunity to see some more of the ships and seamen, and picked my way among a great crowd of people and carts and bales, for the dock was now at its busiest, until I found the tavern in question.",do breakfast squire give note address sign glass tell find place follow line dock keep bright lookout little tavern large brass telescope sign set overjoy opportunity see more ship seamen pick way great crowd person cart bale dock busy find tavern question 
3,"It was a bright enough little place of entertainment. The sign was newly painted; the windows had neat red curtains; the floor was cleanly sanded. There was a street on each side and an open door on both, which made the large, low room pretty clear to see in, in spite of clouds of tobacco smoke.",bright enough little place entertainment sign paint window have neat red curtain floor sand be street side open door make large low room clear see spite cloud tobacco smoke 
4,"The customers were mostly seafaring men, and they talked so loudly that I hung at the door, almost afraid to enter.",customer seafare man talk hang door afraid enter 
5,"As I was waiting, a man came out of a side room, and at a glance I was sure he must be Long John. His left leg was cut off close by the hip, and under the left shoulder he carried a crutch, which he managed with wonderful dexterity, hopping about upon it like a bird. He was very tall and strong, with a face as big as a ham--plain and pale, but intelligent and smiling. Indeed, he seemed in the most cheerful spirits, whistling as he moved about among the tables, with a merry word or a slap on the shoulder for the more favoured of his guests.",wait man come side room glance sure long left leg cut hip left shoulder carry crutch manage wonderful dexterity hopping bird tall strong face big ham plain pale intelligent smile seem cheerful spirit whistle move table merry word slap shoulder favour guest 
6,"Now, to tell you the truth, from the very first mention of Long John in Squire Trelawney's letter I had taken a fear in my mind that he might prove to be the very one-legged sailor whom I had watched for so long at the old Benbow. But one look at the man before me was enough. I had seen the captain, and Black Dog, and the blind man, Pew, and I thought I knew what a buccaneer was like--a very different creature, according to me, from this clean and pleasant-tempered landlord.",tell truth very first mention long letter take fear mind prove very legged sailor watch old look man enough see captain black blind man think know buccaneer different creature accord clean pleasant temper landlord 
7,"I plucked up courage at once, crossed the threshold, and walked right up to the man where he stood, propped on his crutch, talking to a customer.",pluck courage cross threshold walk man stand proppe crutch talk customer 
8,"""Mr. Silver, sir?"" I asked, holding out the note.",sir ask hold note 
9,"""Yes, my lad,"" said he; ""such is my name, to be sure. And who may you be?"" And then as he saw the squire's letter, he seemed to me to give something almost like a start.",lad say such name sure see squire letter seem give start 
10,"""Oh!"" said he, quite loud, and offering his hand. ""I see. You are our new cabin-boy; pleased I am to see you.""",say loud offer hand see new cabin boy pleased see 
11,And he took my hand in his large firm grasp.,take hand large firm grasp 
12,"Just then one of the customers at the far side rose suddenly and made for the door. It was close by him, and he was out in the street in a moment. But his hurry had attracted my notice, and I recognized him at glance. It was the tallow-faced man, wanting two fingers, who had come first to the Admiral Benbow.",customer far side rise make door close street moment hurry attract notice recognize glance tallow face man want finger come 
13,"""Oh,"" I cried, ""stop him! It's Black Dog!""",cry stop black dog 
14,"""I don't care two coppers who he is,"" cried Silver. ""But he hasn't paid his score. Harry, run and catch him.""",care copper cry pay score run catch 
15,One of the others who was nearest the door leaped up and started in pursuit.,other door leap start pursuit 
16,"""If he were Admiral Hawke he shall pay his score,"" cried Silver; and then, relinquishing my hand, ""Who did you say he was?"" he asked. ""Black what?""",pay score cry relinquish hand say ask black 
17,"""Dog, sir,"" said I. ""Has Mr. Trelawney not told you of the buccaneers? He was one of them.""",dog sir say tell buccaneer 
18,"""So?"" cried Silver. ""In my house! Ben, run and help Harry. One of those swabs, was he? Was that you drinking with him, Morgan? Step up here.""",cry house run help swab drink step 
19,"The man whom he called Morgan--an old, grey-haired, mahogany-faced sailor--came forward pretty sheepishly, rolling his quid.",man call old grey hair mahogany face sailor come roll quid 
20,"""Now, Morgan,"" said Long John very sternly, ""you never clapped your eyes on that Black--Black Dog before, did you, now?""",say clapp eye black black 
21,"""Not I, sir,"" said Morgan with a salute.",sir say salute 
22,"""You didn't know his name, did you?""",know name 
23,"""No, sir.""",sir 
24,"""By the powers, Tom Morgan, it's as good for you!"" exclaimed the landlord. ""If you had been mixed up with the like of that, you would never have put another foot in my house, you may lay to that. And what was he saying to you?""",power good exclaim landlord mix like put foot house lay say 
25,"""I don't rightly know, sir,"" answered Morgan.",know sir answer 
26,"""Do you call that a head on your shoulders, or a blessed dead-eye?"" cried Long John. ""Don't rightly know, don't you! Perhaps you don't happen to rightly know who you was speaking to, perhaps? Come, now, what was he jawing--v'yages, cap'ns, ships? Pipe up! What was it?""",call head shoulder bless dead eye cry know happen know speak come jaw yage cap'n ship pipe 
27,"""We was a-talkin' of keel-hauling,"" answered Morgan.",talkin keel hauling answer 
