id,paragraph,tokens
1,CHAPTER 9. Powder and Arms,chapter powder arm 
2,"THE HISPANIOLA lay some way out, and we went under the figureheads and round the sterns of many other ships, and their cables sometimes grated underneath our keel, and sometimes swung above us. At last, however, we got alongside, and were met and saluted as we stepped aboard by the mate, Mr. Arrow, a brown old sailor with earrings in his ears and a squint. He and the squire were very thick and friendly, but I soon observed that things were not the same between Mr. Trelawney and the captain.",lay way go figurehead stern many other ship cable grate keel swing last get meet salute step mate brown old sailor earring ear squint squire thick friendly observe thing same captain 
3,"This last was a sharp-looking man who seemed angry with everything on board and was soon to tell us why, for we had hardly got down into the cabin when a sailor followed us.",last sharp look man seem angry board tell get cabin sailor follow 
4,"""Captain Smollett, sir, axing to speak with you,"" said he.",sir axing speak say 
5,"""I am always at the captain's orders. Show him in,"" said the squire.",captain order show say squire 
6,"The captain, who was close behind his messenger, entered at once and shut the door behind him.",captain close messenger enter shut door 
7,"""Well, Captain Smollett, what have you to say? All well, I hope; all shipshape and seaworthy?""",have say hope shipshape seaworthy 
8,"""Well, sir,"" said the captain, ""better speak plain, I believe, even at the risk of offence. I don't like this cruise; I don't like the men; and I don't like my officer. That's short and sweet.""",sir say captain speak plain believe risk offence like cruise like man like officer short sweet 
9,"""Perhaps, sir, you don't like the ship?"" inquired the squire, very angry, as I could see.",sir like ship inquire squire angry see 
10,"""I can't speak as to that, sir, not having seen her tried,"" said the captain. ""She seems a clever craft; more I can't say.""",speak sir see try say captain seem clever craft more say 
11,"""Possibly, sir, you may not like your employer, either?"" says the squire.",sir like employer say squire 
12,But here Dr. Livesey cut in.,cut 
13,"""Stay a bit,"" said he, ""stay a bit. No use of such questions as that but to produce ill feeling. The captain has said too much or he has said too little, and I'm bound to say that I require an explanation of his words. You don't, you say, like this cruise. Now, why?""",stay bit say stay bit use such question produce ill feeling captain say much say little bound say require explanation word say cruise 
