id,paragraph,tokens
1,"BOOK 5. _MELISANDE_ _OR, LONG AND SHORT DIVISION_",long short division_ 
2," WHEN the Princess Melisande was born, her mother, the Queen, wished to have a christening party, but the King put his foot down and said he would not have it.",bear mother wish have christening party put foot say have 
3,"“I’ve seen too much trouble come of christening parties,” said he. “However carefully you keep your visiting-book, some fairy or other is sure to get left out, and you know what _that_ leads to. Why, even in my own family, the most shocking things have occurred. The Fairy Malevola was not asked to my great-grandmother’s christening—and you know all about the spindle and the hundred years’ sleep.”",see much trouble come christening party say keep visit book fairy other sure leave know lead own family shocking thing occur ask great grandmother christening know spindle year sleep 
4,"“Perhaps you’re right,” said the Queen. “My own cousin by marriage forgot some stuffy old fairy or other when she was sending out the cards for her daughter’s christening, and the old wretch turned up at the last moment, and the girl drops toads out of her mouth to this day.”",right say own cousin marriage forget stuffy old fairy other send card daughter christening old wretch turn last moment girl drop toad mouth day 
5,"“Just so. And then there was that business of the mouse and the kitchen-maids,” said the King; “we’ll have no nonsense about it. I’ll be her godfather, and you shall be her godmother, and we won’t ask a single fairy; then none of them can be offended.”",be business mouse kitchen maid say have nonsense godfather godmother ask single fairy offend 
6,"“Unless they all are,” said the Queen.",say 
7,"And that was exactly what happened. When the King and the Queen and the baby got back from the christening the parlourmaid met them at the door, and said—",happen baby get christening parlourmaid meet door say 
8,"“Please, your Majesty, several ladies have called. I told them you were not at home, but they all said they’d wait.”",several lady call tell home say wait 
9,“Are they in the parlour?” asked the Queen.,parlour ask 
10,"“I’ve shown them into the Throne Room, your Majesty,” said the parlourmaid. “You see, there are several of them.”",show say parlourmaid see be several 
11,"There were about seven hundred. The great Throne Room was crammed with fairies, of all ages and of all degrees of beauty and ugliness—good fairies and bad fairies, flower fairies and moon fairies, fairies like spiders and fairies like butterflies—and as the Queen opened the door and began to say how sorry she was to have kept them waiting, they all cried, with one voice, “Why didn’t you ask _me_ to your christening party?”",be great cramm fairy age degree beauty ugliness good fairy bad fairy flower fairy moon fairy fairy spider fairy butterfly open door begin say sorry keep wait cry voice ask christening party 
12,"“I haven’t had a party,” said the Queen, and she turned to the King and whispered, “I told you so.” This was her only consolation.",have party say turn whisper tell only consolation 
13,"“You’ve had a christening,” said the fairies, all together.",have christening say fairy 
14,"“I’m very sorry,” said the poor Queen, but Malevola pushed forward and said, “Hold your tongue,” most rudely.",sorry say poor push say hold tongue 
15,"Malevola is the oldest, as well as the most wicked, of the fairies. She is deservedly unpopular, and has been left out of more christening parties than all the rest of the fairies put together.",old wicked fairy unpopular leave more christening party rest fairy put 
16,"“Don’t begin to make excuses,” she said, shaking her finger at the Queen. “That only makes your conduct worse. You know well enough what happens if a fairy is left out of a christening party. We are all going to give our christening presents _now_. As the fairy of highest social position, I shall begin. The Princess shall be bald.”",begin make excuse say shake finger make conduct bad know happen fairy leave christening party go give christening present _now_ fairy high social position begin bald 
17,"The Queen nearly fainted as Malevola drew back, and another fairy, in a smart bonnet with snakes in it, stepped forward with a rustle of bats’ wings. But the King stepped forward too.",faint draw fairy smart bonnet snake step rustle bat wing step 
18,"“No you don’t!” said he. “I wonder at you, ladies, I do indeed. How can you be so unfairylike? Have none of you been to school—have none of you studied the history of your own race? Surely you don’t need a poor, ignorant King like me to tell you that this is _no go_?”",say wonder lady unfairylike school have study history own race need poor ignorant tell go_ 
19,"“How dare you?” cried the fairy in the bonnet, and the snakes in it quivered as she tossed her head. “It is my turn, and I say the Princess shall be——”",dare cry fairy bonnet snake quiver toss head turn say 
20,The King actually put his hand over her mouth.,put hand mouth 
21,"“Look here,” he said; “I won’t have it. Listen to reason—or you’ll be sorry afterwards. A fairy who breaks the traditions of fairy history goes out—you know she does—like the flame of a candle. And all tradition shows that only _one_ bad fairy is ever forgotten at a christening party and the good ones are always invited; so either this is not a christening party, or else you were all invited except one, and, by her own showing, that was Malevola. It nearly always is. Do I make myself clear?”",look say have listen reason sorry fairy break tradition fairy history go know flame candle tradition show _one_ bad fairy forget christening party good one invite christening party else invite own show make clear 
22,Several of the better-class fairies who had been led away by Malevola’s influence murmured that there was something in what His Majesty said.,several good class fairy lead influence murmure be say 
23,"“Try it, if you don’t believe me,” said the King; “give your nasty gifts to my innocent child—but as sure as you do, out you go, like a candle-flame. Now, then, will you risk it?”",try believe say give nasty gift innocent child sure do go candle flame risk 
24,"No one answered, and presently several fairies came up to the Queen and said what a pleasant party it had been, but they really must be going. This example decided the rest. One by one all the fairies said goodbye and thanked the Queen for the delightful afternoon they had spent with her.",answer several fairy come say pleasant party go example decide rest fairy say goodbye thank delightful afternoon spend 
25,"“It’s been quite too lovely,” said the lady with the snake-bonnet; “_do_ ask us again soon, dear Queen. I shall be so _longing_ to see you again, and the _dear_ baby,” and off she went, with the snake-trimming quivering more than ever.",lovely say lady snake bonnet ask dear _longing_ see _dear_ baby go snake trimming quiver more 
