id,paragraph,tokens
1,CHAPTER IX. THE WALLYPUG RECOVERS HIS CROWN.,chapter wallypug recover crown 
2," HIS Majesty and myself stared at each other in dismay. Our position was growing more and more uncomfortable every moment, and, added to this, I had a growing impression that the rods to which we were attached would sooner or later break with our weight.",stare other dismay position grow uncomfortable moment add have grow impression rod attach break weight 
3,"“Well! I do think that they might have helped us off the hooks, at any rate,” grumbled his Majesty, discontentedly.",think help hook rate grumble 
4,"“So do I,” I rejoined, and was about to add something else when my attention was attracted to the peculiar behavior of the two blue birds which we had previously noticed circling about over our heads.",rejoin about add else attention attract peculiar behavior blue bird notice circle head 
5,"They were wheeling round and round in a most eccentric manner, and as they drew closer we could see that they were as singular in appearance as they were in their manner.",wheel eccentric manner draw close see singular appearance manner 
6,"“Why, they’ve got ever so many wings!” cried his Majesty in surprise.",get many wing cry surprise 
7,"“Go away!” he shouted, as one of them fluttered past his face. The birds, however, were not to be got rid of so easily, and, uttering shrill little cries, they hovered about over his Majesty’s head, every now and then making a vicious dart at the sandwich which he still held in one hand.",go shout flutter face bird get rid utter shrill little cry hover head make vicious dart sandwich hold hand 
8,"“Oh! take them away!—take them away!” he shouted, dropping his carpet-bag in alarm, and evidently forgetting that I was as incapable as he was of driving them off.",take take shout drop carpet bag alarm forget incapable drive 
9,"“Throw your sandwich away!” I shouted; “it’s that they are after, I believe.”",throw sandwich shout believe 
10,"His Majesty did so, and we soon had the satisfaction of seeing the birds squabbling over it on the bank at the side of the shute.",do have satisfaction see bird squabble bank side shute 
11,[“GO AWAY!” SHOUTED HIS MAJESTY.],go shoute majesty 
12,"“Fortunate I tied my bag to the string of my cloak, wasn’t it?” remarked the Wallypug, when they had gone. “I should have lost it else. Oh, look! What’s that coming down the shute?” he cried, as something suddenly came rolling and bounding down the steep incline.",fortunate tie bag string cloak remark go lose else look come shute cry come roll bound steep incline 
13,"“O—o—o—h!” he continued delightedly, as it stopped, caught in the mouth of the carpet-bag which, attached to the cord of his Majesty’s cloak, dangled down the shute. “Why, it’s my crown! They must have thought that I wanted it, and sent it down after me. How very kind of them. Wasn’t it?”",continue stop catch mouth carpet bag attach cord cloak dangle shute crown think want send kind 
14,"I had my own opinions on the subject, and held my peace, for I felt quite sure that it was not through any intentional kindness that the crown had found its way to its proper owner.",have own opinion subject hold peace feel sure intentional kindness crown find way proper owner 
15,"His Majesty very carefully drew up the carpet-bag with its precious burden, and soon had the intense satisfaction of putting the crown of Why on his royal head once more.",draw carpet bag precious burden have intense satisfaction put crown royal head 
16,"“Oh!” he cried with a little sigh of satisfaction, “it does seem nice to have it on again. I’m afraid that I should soon have caught a cold in my head, like A. Fish, Esq., if I had gone without it much longer.”",cry little sigh satisfaction seem nice have afraid catch cold head go 
17,[A LONG LINE OF CREATURES WAS COMING DOWN THE SHUTE.],long line creaturr coming 
18,"“Gracious!” he cried, pointing excitedly towards the top of the shute, “there’s something else coming down! Why it’s the Doctor-in-Law and Madame. Oh!—and the Cockatoo—and—the Rabbit and the Mole. Bless me! if the whole of Why isn’t coming along.”",gracious cry point top shute be else come bless whole come 
19,"It was quite true; attached to a strong rope a long line of creatures was coming down the shute, the Doctor-in-Law leading the way.",true attach strong rope long line creature come shute lead way 
20,"He soon caught sight of us dangling at the end of our rods, and calling out “Halt!” in a loud voice, he pulled at the rope as a sign that they were to stop. This signal was passed along by the others, and the Cockatoo, who was attached to the rope in a very uncomfortable manner, gave a loud “squ-a-a-k” as the sudden jerk caused it to tighten about her neck.",catch sight dangle end rod call halt loud voice pull rope sign stop signal pass other attach rope uncomfortable manner give loud squ k sudden jerk cause tighten neck 
21,"The signal, however, managed somehow to reach those at the other end, for the procession suddenly came to a standstill.",signal manage reach other end procession come standstill 
22,"“Oh, there you are then!” called out the Doctor-in-Law in a severe voice. “Thought you had escaped us, I suppose.”",call severe voice think escape suppose 
23,"The Cockatoo, in a voice choking with rage, and the tightened rope, shrieked out, “Down with the traitors!” while the Rabbit passed the word along, “It’s all right. We’ve found them.”",voice choke rage tighten rope shriek traitor pass word right find 
24,"“Just you come down and tie yourself to this rope at once!” called out Madame, glaring fiercely at the Wallypug.",come tie rope call glaring 
25,"“Shan’t!” shouted his Majesty defiantly, pushing his crown further on to his head.",shout push crown head 
26,"“What!” screamed the good lady, in a terrible passion. “Do you dare to rebel?”",scream good lady terrible passion dare rebel 
27,"“Yes, I do,” called out his Majesty bravely. “I don’t believe you are my sister-in-law at all, and I’m not going back to Why to be snubbed and ill-treated for you or any one else—so there. You can’t get at me, hanging up here, and I don’t mean to get down till you’re gone. Yah!”",call believe sister law go snubb ill treat one else get hang mean get gone 
28,"“Oh, we’ll soon see all about that,” called out the Doctor-in-Law, working himself to the edge of the shute, and trying to climb up the steep sides of the bank.",see call work edge shute try climb steep side bank 
29,"We watched his endeavors with considerable anxiety, for if he did succeed in getting on to the bank, it would be an easy matter for him to get at us, by means of the bridge. The rope, however, by which he was attached to the Sister-in-Law was not sufficiently long to enable him to do this, and while he was unfastening it there was a sudden cry in the direction of the tunnel, and a moment afterwards, screaming, kicking, and struggling, the whole party rapidly disappeared down the shute.",watch endeavor considerable anxiety succeed get bank easy matter get means bridge rope attach long enable do unfasten be sudden cry direction tunnel moment scream kick struggle whole party disappear shute 
30,The rope had given way!,rope give way 
31,"“He, he, he! Ha, ha!” laughed his Majesty, as the huddled mass vanished in the distance. “What a lark! Oh what a muddle they will be in when they reach the bottom.”",laugh huddle mass vanish distance lark muddle reach bottom 
32,"I tried to imagine what would be the result, and came to the conclusion that, uncomfortable as I was in my present position, I would rather be where I was than attached to the rope with the others.",try imagine result come conclusion uncomfortable present position attach rope other 
33,"In the meantime the little blue people, their curiosity evidently aroused by the noise, were hurrying towards us as quickly as possible, bringing with them a very stout blue person, who was waddling along, being alternately pushed and pulled by the others in their eagerness to reach us.",meantime little blue person curiosity arouse noise hurry possible bring stout blue person waddle push pull other eagerness reach 
34,"“See, there they are!” cried the little lady whose name we afterwards found out was Gra-Shus. “Oh my! Aren’t they a funny color?”",see cry little lady name find funny color 
35,"“Shall we get them down?” asked the other, whose name was Mi-Hy.",get ask other name 
36,"The little fat man regarded us critically, and said nothing for a moment or two, then he nodded his head violently.",little fat man regard say moment nod head 
37,"“You’re sure you won’t bite?” said Mi-Hy, looking up into my face.",sure bite say look face 
38,"“No, of course not. Don’t be silly,” I replied.",course silly reply 
39,"Thereupon, after a great deal of pulling and pushing on the part of Mi-Hy and Gra-Shus, the rods to which we were attached were swung around, and the Wallypug and myself alighted, one on either side of the bank.",great deal pull push part rod attach swing alight side bank 
40,"His Majesty smoothed his rumpled garments, and, adjusting his crown to a more becoming angle, positively swaggered across the bridge to where the three little blue people stood in a line to receive us.",smooth rumpled garment adjust crown become angle swagger bridge little blue person stand line receive 
41,"“This is Ho-Lor,” said Mi-Hy, pushing the little fat man forward, while Gra-Shus bashfully hid behind the ample folds of his gorgeous blue skirts.",say push little fat man hide ample fold gorgeous blue skirt 
42,“How do you do?” asked his Majesty graciously.,do ask 
43,"“Do what?” asked Ho-Lor, smilingly.",do ask 
44,"“I mean, how are you?” explained the Wallypug.",mean explain 
45,"“You mean _what_ am I, I suppose?” said the little man, putting on a puzzled expression.",mean suppose say little man put puzzle expression 
46,"“No, I don’t,” said the Wallypug. “I mean just what I say—How are you?”",say mean say 
47,"“But I don’t understand,” replied Ho-Lor. “How am I what?”",understand reply 
