id,paragraph,tokens
1,CHAPTER VI.,
2,,
3,"""Thou little child, yet glorious in the night Of heaven-born freedom on thy Being's height, Why with such earnest pains dost thou provoke The Years to bring the inevitable yoke - Thus blindly with thy blessedness at strife? Full soon thy soul shall have her earthly freight, And custom lie upon thee with a weight Heavy as frost, and deep almost as life.""",little child glorious night heaven bear freedom height such earnest pain provoke bring inevitable yoke blessedness strife full soul have earthly freight custom lie weight heavy frost deep life 
4,WORDSWORTH.,
5," I come to the very saddest part of all my story.  I know some people will only laugh at it, and call it much ado about nothing. But I know one man who would not; and he was an officer with a pair of gray moustaches as long as your arm, who said once in company that two of the most heart-rending sights in the world, which moved him most to tears, which he would do anything to prevent or remedy, were a child over a broken toy and a child stealing sweets.",come saddest part story know person laugh call much ado know man officer pair gray moustach arm say company heart rending sight world move most tear do prevent remedy child break toy child steal sweet 
6,"The company did not laugh at him; his moustaches were too long and too gray for that:  but, after he was gone, they called him sentimental and so forth, all but one dear little old Quaker lady with a soul as white as her cap, who was not, of course, generally partial to soldiers; and she said very quietly, like a Quaker:",company laugh moustach long gray gone call sentimental dear little old lady soul white cap course partial soldier say 
7,"""Friends, it is borne upon my mind that that is a truly brave man.""",friend borne mind brave man 
8,"Now you may fancy that Tom was quite good, when he had everything that he could want or wish:  but you would be very much mistaken. Being quite comfortable is a very good thing; but it does not make people good.  Indeed, it sometimes makes them naughty, as it has made the people in America; and as it made the people in the Bible, who waxed fat and kicked, like horses overfed and underworked.  And I am very sorry to say that this happened to little Tom.  For he grew so fond of the sea-bullseyes and sea-lollipops that his foolish little head could think of nothing else:  and he was always longing for more, and wondering when the strange lady would come again and give him some, and what she would give him, and how much, and whether she would give him more than the others.  And he thought of nothing but lollipops by day, and dreamt of nothing else by night--and what happened then?",fancy good have want wish mistaken comfortable good thing make person good make naughty make person make person wax fat kick horse overf underwork sorry say happen little grow fond sea bullseye sea lollipop foolish little head think else long more wonder strange lady come give give much give more other think lollipop day dreamt else night happen 
9,"That he began to watch the lady to see where she kept the sweet things:  and began hiding, and sneaking, and following her about, and pretending to be looking the other way, or going after something else, till he found out that she kept them in a beautiful mother-of-pearl cabinet away in a deep crack of the rocks.",begin watch lady see keep sweet thing begin hide sneak follow pretend look other way go else find keep beautiful mother pearl cabinet deep crack rock 
10,"And he longed to go to the cabinet, and yet he was afraid; and then he longed again, and was less afraid; and at last, by continual thinking about it, he longed so violently that he was not afraid at all.  And one night, when all the other children were asleep, and he could not sleep for thinking of lollipops, he crept away among the rocks, and got to the cabinet, and behold! it was open.",long go cabinet afraid long afraid last continual think long afraid night other child asleep sleep think lollipop creep rock get cabinet behold open 
11,"But, when he saw all the nice things inside, instead of being delighted, he was quite frightened, and wished he had never come there.  And then he would only touch them, and he did; and then he would only taste one, and he did; and then he would only eat one, and he did; and then he would only eat two, and then three, and so on; and then he was terrified lest she should come and catch him, and began gobbling them down so fast that he did not taste them, or have any pleasure in them; and then he felt sick, and would have only one more; and then only one more again; and so on till he had eaten them all up.",see nice thing delight frighten wish come touch taste eat eat terrified come catch begin gobble taste have pleasure feel sick have more eat 
