id,paragraph,tokens
1,CHAPTER VI. MR. TOAD,
2,"It was a bright morning in the early part of summer; the river had resumed its wonted banks and its accustomed pace, and a hot sun seemed to be pulling everything green and bushy and spiky up out of the earth towards him, as if by strings. The Mole and the Water Rat had been up since dawn, very busy on matters connected with boats and the opening of the boating season; painting and varnishing, mending paddles, repairing cushions, hunting for missing boat-hooks, and so on; and were finishing breakfast in their little parlour and eagerly discussing their plans for the day, when a heavy knock sounded at the door.",bright morning early part summer river resume wont bank accustom pace hot sun seem pull green bushy spiky earth string dawn busy matter connect boat opening boating season painting varnishing mend paddle repair cushion hunting missing boat hook finish breakfast little parlour discuss plan day heavy knock sound door 
3,"‘Bother!’ said the Rat, all over egg. ‘See who it is, Mole, like a good chap, since you’ve finished.’",bother say egg see good chap finish 
4,"The Mole went to attend the summons, and the Rat heard him utter a cry of surprise. Then he flung the parlour door open, and announced with much importance, ‘Mr. Badger!’",go attend summons hear utter cry surprise flung parlour door open announce much importance 
5,"This was a wonderful thing, indeed, that the Badger should pay a formal call on them, or indeed on anybody. He generally had to be caught, if you wanted him badly, as he slipped quietly along a hedgerow of an early morning or a late evening, or else hunted up in his own house in the middle of the Wood, which was a serious undertaking.",wonderful thing pay formal call have catch want slip hedgerow early morning late evening hunt own house middle serious undertaking 
6,"The Badger strode heavily into the room, and stood looking at the two animals with an expression full of seriousness. The Rat let his egg-spoon fall on the table-cloth, and sat open-mouthed.",strode room stand look animal expression full seriousness let egg spoon fall table cloth sit open mouthed 
7,‘The hour has come!’ said the Badger at last with great solemnity.,hour come say last great solemnity 
8,"‘What hour?’ asked the Rat uneasily, glancing at the clock on the mantelpiece.",hour ask glance clock mantelpiece 
9,"‘WHOSE hour, you should rather say,’ replied the Badger. ‘Why, Toad’s hour! The hour of Toad! I said I would take him in hand as soon as the winter was well over, and I’m going to take him in hand to-day!’",hour say reply hour hour say take hand winter go take hand day 
10,"‘Toad’s hour, of course!’ cried the Mole delightedly. ‘Hooray! I remember now! WE’LL teach him to be a sensible Toad!’",hour course cry hooray remember teach sensible toad 
