id,paragraph,tokens
1,CHAPTER XI. HOW DIAMOND GOT HOME AGAIN,get home 
2," WHEN one at the back of the north wind wanted to know how things were going with any one he loved, he had to go to a certain tree, climb the stem, and sit down in the branches. In a few minutes, if he kept very still, he would see something at least of what was going on with the people he loved.",back north wind want know thing go one love have go certain tree climb stem sit branch few minute keep see least go person love 
3,"One day when Diamond was sitting in this tree, he began to long very much to get home again, and no wonder, for he saw his mother crying. Durante says that the people there may always follow their wishes, because they never wish but what is good. Diamond’s wish was to get home, and he would fain follow his wish.",day sit tree begin much get wonder see mother cry say person follow wish wish good wish get follow wish 
4,"But how was he to set about it? If he could only see North Wind! But the moment he had got to her back, she was gone altogether from his sight. He had never seen her back. She might be sitting on her doorstep still, looking southwards, and waiting, white and thin and blue-eyed, until she was wanted. Or she might have again become a mighty creature, with power to do that which was demanded of her, and gone far away upon many missions. She must be somewhere, however. He could not go home without her, and therefore he must find her. She could never have intended to leave him always away from his mother. If there had been any danger of that, she would have told him, and given him his choice about going. For North Wind was right honest. How to find North Wind, therefore, occupied all his thoughts.",set see moment get back gone sight see sit doorstep look wait white thin blue eyed want become mighty creature power do demand go many mission go find intend leave mother be danger tell give choice go honest find occupy thought 
5,"In his anxiety about his mother, he used to climb the tree every day, and sit in its branches. However many of the dwellers there did so, they never incommoded one another; for the moment one got into the tree, he became invisible to every one else; and it was such a wide-spreading tree that there was room for every one of the people of the country in it, without the least interference with each other. Sometimes, on getting down, two of them would meet at the root, and then they would smile to each other more sweetly than at any other time, as much as to say, “Ah, you’ve been up there too!”",anxiety mother use climb tree day sit branch many dweller incommod moment get tree become invisible one else wide spread tree be room one person country least interference other get meet root smile other other time say 
6,"One day he was sitting on one of the outer branches of the tree, looking southwards after his home. Far away was a blue shining sea, dotted with gleaming and sparkling specks of white. Those were the icebergs. Nearer he saw a great range of snow-capped mountains, and down below him the lovely meadow-grass of the country, with the stream flowing and flowing through it, away towards the sea. As he looked he began to wonder, for the whole country lay beneath him like a map, and that which was near him looked just as small as that which he knew to be miles away. The ridge of ice which encircled it appeared but a few yards off, and no larger than the row of pebbles with which a child will mark out the boundaries of the kingdom he has appropriated on the sea-shore. He thought he could distinguish the vapoury form of North Wind, seated as he had left her, on the other side. Hastily he descended the tree, and to his amazement found that the map or model of the country still lay at his feet. He stood in it. With one stride he had crossed the river; with another he had reached the ridge of ice; with the third he stepped over its peaks, and sank wearily down at North Wind’s knees. For there she sat on her doorstep. The peaks of the great ridge of ice were as lofty as ever behind her, and the country at her back had vanished from Diamond’s view.",day sit outer branch tree look home blue shine sea dot gleam sparkling speck white iceberg see great range snow cap mountain lovely meadow grass country stream flow flow sea look begin wonder whole country lay map look small know mile ridge ice encircle appear few yard large row pebble child mark boundary kingdom appropriate sea shore think distinguish vapoury form seat leave other side descend tree amazement find map model country lay foot stand stride cross river reach ridge ice third step peak sink knee sit doorstep peak great ridge ice lofty country back vanish view 
7,"North Wind was as still as Diamond had left her. Her pale face was white as the snow, and her motionless eyes were as blue as the caverns in the ice. But the instant Diamond touched her, her face began to change like that of one waking from sleep. Light began to glimmer from the blue of her eyes.",leave pale face white snow motionless eye blue cavern ice instant touch face begin change wake sleep light begin glimmer blue eye 
8,"A moment more, and she laid her hand on Diamond’s head, and began playing with his hair. Diamond took hold of her hand, and laid his face to it. She gave a little start.",moment more lay hand head begin play hair take hold hand lay face give little start 
9,"“How very alive you are, child!” she murmured. “Come nearer to me.”",alive child murmure come 
10,"By the help of the stones all around he clambered up beside her, and laid himself against her bosom. She gave a great sigh, slowly lifted her arms, and slowly folded them about him, until she clasped him close. Yet a moment, and she roused herself, and came quite awake; and the cold of her bosom, which had pierced Diamond’s bones, vanished.",help stone clamber lay bosom give great sigh lift arm fold clasp close moment rouse come awake cold bosom pierce bone vanish 
