id,paragraph,tokens
1,CHAPTER XX. DIAMOND LEARNS TO READ,learn read 
2," THE question of the tall gentleman as to whether Diamond could read or not set his father thinking it was high time he could; and as soon as old Diamond was suppered and bedded, he began the task that very night. But it was not much of a task to Diamond, for his father took for his lesson-book those very rhymes his mother had picked up on the sea-shore; and as Diamond was not beginning too soon, he learned very fast indeed. Within a month he was able to spell out most of the verses for himself.",question tall gentleman read set father think high time old supper bedd begin task night much task father take lesson book rhyme mother pick sea shore begin learn month able spell most verse 
3,"But he had never come upon the poem he thought he had heard his mother read from it that day. He had looked through and through the book several times after he knew the letters and a few words, fancying he could tell the look of it, but had always failed to find one more like it than another. So he wisely gave up the search till he could really read. Then he resolved to begin at the beginning, and read them all straight through. This took him nearly a fortnight. When he had almost reached the end, he came upon the following verses, which took his fancy much, although they were certainly not very like those he was in search of.",come poem think hear mother read day look book several time know letter few word fancy tell look fail find more give search read resolve begin beginning read take fortnight reach end come follow verse take fancy much search 
4, LITTLE BOY BLUE,little 
5,"            Little Boy Blue lost his way in a wood.                Sing apples and cherries, roses and honey;             He said, “I would not go back if I could,                It’s all so jolly and funny.”",little lose way wood sing apple cherry rose honey say go jolly funny 
6,"            He sang, “This wood is all my own,                Apples and cherries, roses and honey;             So here I’ll sit, like a king on my throne,                All so jolly and funny.”",sing wood own apple cherry rose honey sit king throne jolly funny 
7,"            A little snake crept out of the tree,                Apples and cherries, roses and honey;             “Lie down at my feet, little snake,” said he,                All so jolly and funny.",little snake creep tree apple cherry rose honey lie foot little snake say jolly funny 
8,"            A little bird sang in the tree overhead,                Apples and cherries, roses and honey;             “Come and sing your song on my finger instead,                All so jolly and funny.”",little bird sing tree overhead apple cherry rose honey come sing song finger jolly funny 
9,"            The snake coiled up; and the bird flew down,             And sang him the song of Birdie Brown.",snake coiled bird fly sing song 
10,"            Little Boy Blue found it tiresome to sit,             And he thought he had better walk on a bit.",little find tiresome sit think good walk bit 
11,"            So up he got, his way to take,             And he said, “Come along, little bird and snake.”",get way take say come little bird snake 
