id,paragraph,tokens
1,CHAPTER I. THE OUTLAWS.,chapter outlats 
2," It was a bright morning in the month of August, when a lad of some fifteen years of age, sitting on a low wall, watched party after party of armed men riding up to the castle of the Earl of Evesham. A casual observer glancing at his curling hair and bright open face, as also at the fashion of his dress, would at once have assigned to him a purely Saxon origin; but a keener eye would have detected signs that Norman blood ran also in his veins, for his figure was lither and lighter, his features more straightly and shapely cut, than was common among Saxons. His dress consisted of a tight-fitting jerkin, descending nearly to his knees. The material was a light-blue cloth, while over his shoulder hung a short cloak of a darker hue. His cap was of Saxon fashion, and he wore on one side a little plume of a heron. In a somewhat costly belt hung a light short sword, while across his knees lay a crossbow, in itself almost a sure sign of its bearer being of other than Saxon blood. The boy looked anxiously as party after party rode past towards the castle.",bright morning month lad year age sit low wall watch party party armed man ride castle casual observer glance curling hair bright open face fashion dress assign saxon origin keener eye detect sign blood run vein figure lither light feature shapely cut common dress consist tight fitting jerkin descend knee material light blue cloth shoulder hang short cloak dark hue cap saxon fashion wear side little plume heron costly belt hang light short sword knee lay crossbow sure sign bearer other saxon blood boy look party party ride castle 
3,"""I would give something,"" he said, ""to know what wind blows these knaves here. From every petty castle in the Earl's feu the retainers seem hurrying here. Is he bent, I wonder, on settling once and for all his quarrels with the Baton of Wortham? or can he be intending to make a clear sweep of the woods? Ah! here comes my gossip Hubert; he may tell me the meaning of this gathering.""",give say know wind blow knave petty castle retainer seem hurry bent wonder settle quarrel intend make clear sweep wood come gossip tell meaning gathering 
4,"Leaping to his feet, the speaker started at a brisk walk to meet a jovial-looking personage coming down from the direction of the castle. The new comer was dressed in the attire of a falconer, and two dogs followed at his heels.",leap foot speaker start brisk walk meet jovial look personage come direction castle new comer dress attire falconer dog follow heel 
5,"""Ah, Master Cuthbert,"" he said, ""what brings you so near to the castle? It is not often that you favour us with your presence.""",say bring castle favour presence 
6,"""I am happier in the woods, as you well know, and was on my way thither but now, when I paused at the sight of all these troopers flocking in to Evesham. What enterprise has Sir Walter on hand now, think you?""",happy wood know way pause sight trooper flock enterprise have hand think 
7,"""The earl keeps his own counsel,"" said the falconer, ""but methinks a shrewd guess might be made at the purport of the gathering. It was but three days since that his foresters were beaten back by the landless men, whom they caught in the very act of cutting up a fat buck. As thou knowest, my lord though easy and well-disposed to all, and not fond of harassing and driving the people as are many of his neighbours, is yet to the full as fanatical anent his forest privileges as the worst of them. They tell me that when the news came in of the poor figure that his foresters cut with broken bows and draggled plumes--for the varlets had soused them in a pond of not over savoury water--he swore a great oath that he would clear the forest of the bands. It may be, indeed, that this gathering is for the purpose of falling in force upon that evil-disposed and most treacherous baron, Sir John of Wortham, who has already begun to harry some of the outlying lands, and has driven off, I hear, many heads of cattle. It is a quarrel which will have to be fought out sooner or later, and the sooner the better, say I. Although I am no man of war, and love looking after my falcons or giving food to my dogs far more than exchanging hard blows, yet would I gladly don the buff and steel coat to aid in levelling the keep of that robber and tyrant, Sir John of Wortham.""",earl keep own counsel say falconer methink shrewd guess make purport gathering day forester beat landless man catch very act cut fat buck lord easy dispose fond harass drive person many neighbour full fanatical forest privilege bad tell news come poor figure forester cut break bow draggle plume varlet souse pond savoury water swore great oath clear forest band gathering purpose fall force evil dispose treacherous baron begin harry outly land drive hear many head cattle quarrel have fight good say man war love look falcon give food dog more exchang hard blow don buff steel coat aid levell keep robber tyrant 
8,"""Thanks, good Hubert,"" said the lad. ""I must not stand gossiping here. The news you have told me, as you know, touches me closely, for I would not that harm should come to the forest men.""",thanks good say lad stand gossipe news tell know touch harm come forest man 
9,"""Let it not out, I beseech thee, Cuthbert, that the news came from me, for temperate as Sir Walter is at most times, he would, methinks, give me short shift did he know that the wagging of my tongue might have given warning through which the outlaws of the Chase should slip through his fingers.""",let beseech news come temperate most time methink give short shift know wag tongue give warning outlaw chase slip finger 
10,"""Fear not, Hubert; I can be mum when the occasion needs. Can you tell me farther, when the bands now gathering are likely to set forth?""",fear mum occasion need tell band gathering likely set 
