dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,iterations,num_topics
dataset_name,RF,LCB,0,239.92926955223083,0.038995910050185996,0.03950137316548726,0.002590455862950861,0.9772341728128853,1.371424635022045,198,18
dataset_name,RF,LCB,1,256.41940426826477,0.010238668383986647,0.010201133792696824,0.0006597140804973525,1.1897607902677867,0.767699765864055,194,47
dataset_name,RF,LCB,2,186.5395438671112,0.05167585996608571,0.05436271899357009,0.006334496832818113,0.5226482974967552,1.8253190801907693,89,19
dataset_name,RF,LCB,3,200.89741587638855,0.012494993556453836,0.011647996305450926,0.0013006157655487713,1.4480694008311514,1.4853341472959056,187,44
dataset_name,RF,LCB,4,247.43185091018677,0.05640806411993687,0.0566703090930709,0.0013272459117322775,0.7021582586229417,0.1378687903348033,171,22
dataset_name,RF,LCB,5,197.406676530838,0.04987549491223485,0.04752096652578687,0.006039316872700363,0.30416325487240664,1.1732425575233398,61,36
dataset_name,RF,LCB,6,290.0714466571808,0.028126801969549187,0.029047706869867712,0.0029477864312912982,0.5769280064287609,0.23350140729010277,60,48
dataset_name,RF,LCB,7,247.22381925582886,0.05554879040947363,0.05321747335430253,0.007491016565341344,0.5661091685174006,1.3907654676703662,151,25
dataset_name,RF,LCB,8,234.00966668128967,0.05690724843679357,0.056597532146606636,0.0014042536183584942,0.37992783540118136,1.754496584058591,185,30
dataset_name,RF,LCB,9,263.835200548172,0.03713760176829318,0.03678225966919789,0.0023226827231884665,0.556392002413118,1.7113485771064818,172,31
dataset_name,RF,LCB,10,223.58126211166382,0.027223684057212857,0.02718719870718716,0.001072315103948048,1.191816970092164,1.4076108215464396,193,25
dataset_name,RF,LCB,11,429.88335371017456,0.04149454454907423,0.04120067153049568,0.002811179679604941,0.5246495614213345,0.6678402169724807,166,48
dataset_name,RF,LCB,12,247.87547373771667,0.0704365755838112,0.07138649729539051,0.004588199228466137,0.2651238664508168,1.6131704417154826,192,23
dataset_name,RF,LCB,13,217.98551440238953,0.08962571937159237,0.09778580399209298,0.013746193296135382,0.04876768581268901,1.6221467460113344,198,10
dataset_name,RF,LCB,14,250.7139139175415,0.06569803483906456,0.06615063696495138,0.006376003114219717,0.3276145026895614,1.68628436292095,196,25
dataset_name,RF,LCB,15,364.98256278038025,0.05049460145280496,0.05013305053952888,0.0015701919200050267,0.18197389055777025,1.8761041206107394,189,47
dataset_name,RF,LCB,16,393.3818459510803,0.05012752522694397,0.051242192746200434,0.003680574685451777,0.23191061833578752,1.7929108114020562,192,48
dataset_name,RF,LCB,17,246.69332027435303,0.0903971614294068,0.08774171919237908,0.005856198932306025,0.05263330747155283,0.9710443472967698,195,18
dataset_name,RF,LCB,18,250.47926926612854,0.10238241599042826,0.10074192724265904,0.007944824665282523,0.15926705505297123,0.6111120778500975,196,15
dataset_name,RF,LCB,19,385.3902094364166,0.06705723545947802,0.06713901200390845,0.0032806614091710033,0.11074099900304925,0.9799883849232012,199,47
dataset_name,RF,LCB,20,249.66332817077637,0.09524289578317896,0.09296041912940417,0.009013407081175295,0.016238870361746933,0.6321815901269078,191,15
dataset_name,RF,LCB,21,233.7922112941742,0.07287849173832207,0.07379263282772479,0.0019138580230761968,0.014632878307303494,1.8156853305312304,188,19
dataset_name,RF,LCB,22,210.88936686515808,0.09557993807278468,0.1002189456020107,0.008225753002680471,0.15128407272797595,0.5065177349235267,90,15
dataset_name,RF,LCB,23,187.741548538208,0.09663168477688001,0.09705163905753586,0.003570202145890968,0.169887034986301,0.3871747201457675,70,14
dataset_name,RF,LCB,24,239.68240094184875,0.09665075454215018,0.1003181144698787,0.011301064098930507,0.17208192707184516,0.3613320646533216,116,13
dataset_name,RF,LCB,25,252.96257829666138,0.12396642944723413,0.11860456549730987,0.010868229453455985,0.19430096607533517,0.2572092605346202,173,11
dataset_name,RF,LCB,26,243.36211562156677,0.0710631029196656,0.07258453023163522,0.003388563378405726,1.1453422539672717,0.25867990534190427,173,11
dataset_name,RF,LCB,27,178.058429479599,0.04804979323696784,0.048499512016204546,0.00427148033893918,1.9702401342240243,0.15278972841778996,197,13
dataset_name,RF,LCB,28,213.18534135818481,0.10520506153370014,0.10491919918983106,0.007843282160757269,0.20913794026649074,0.009749061357519963,111,13
dataset_name,RF,LCB,29,253.65491676330566,0.10406768207795326,0.10184703141922483,0.014853478450775982,0.20484890540016484,0.15333301295354154,178,18
dataset_name,RF,LCB,30,212.29749989509583,0.11201339948753385,0.11009956481487926,0.010340797959959442,0.21706606405638326,0.12510098673765604,115,10
dataset_name,RF,LCB,31,240.52947163581848,0.11420191170840578,0.11393843158378265,0.012385385047142507,0.21924988831977169,0.09436033945536651,188,13
dataset_name,RF,LCB,32,214.12455296516418,0.1009138481475925,0.10197594597515994,0.0028793105524738336,0.22477810628684716,0.14626938670250136,99,18
dataset_name,RF,LCB,33,374.19857120513916,0.08640867853099085,0.08466558487171325,0.003900211823829157,0.19395782698029573,0.11330472167540065,171,46
dataset_name,RF,LCB,34,168.44229578971863,0.10323892423354031,0.09998985337610959,0.010811164638165102,0.25266028232901616,0.008475917941705104,60,12
dataset_name,RF,LCB,35,254.84711742401123,0.1183815252665394,0.11696004482002227,0.015313752815925282,0.23696849533480627,0.1012596765462084,199,10
dataset_name,RF,LCB,36,237.64381647109985,0.11220379363098959,0.11085043156653432,0.009513218911964058,0.24757701413872688,0.2762527129770878,156,11
dataset_name,RF,LCB,37,173.85018348693848,0.10571389869600117,0.10689371204622695,0.006912102388775624,0.2667495134495066,0.12207362269339964,61,12
dataset_name,RF,LCB,38,223.5503215789795,0.13489475253688354,0.1308559995354902,0.012458016263807957,0.28535505505822767,0.22964984720112286,94,10
dataset_name,RF,LCB,39,209.2455997467041,0.11984710056576908,0.11449202634060837,0.013985996401838919,0.293804388993143,0.21199075547541507,92,11
dataset_name,RF,LCB,40,220.6756637096405,0.10958682683617971,0.11222924495150004,0.010657701110436794,0.2971003388678103,0.3144602879396022,133,10
dataset_name,RF,LCB,41,150.18979334831238,0.08221701063640473,0.08473770485856294,0.008214877856005276,0.2911514946815614,1.534670589381465,54,10
dataset_name,RF,LCB,42,252.50103974342346,0.11363838827904255,0.11664622044110406,0.009404691224480573,0.29564132901665885,0.22441490242284573,198,10
dataset_name,RF,LCB,43,252.26319217681885,0.10134057535992429,0.10600504816468073,0.011934360931303794,0.29814001211990915,0.5235522412320842,184,11
dataset_name,RF,LCB,44,210.2340145111084,0.11534457360536918,0.11380138362651718,0.0064370583873298165,0.333210284844291,0.035172907020660345,87,11
dataset_name,RF,LCB,45,237.18119525909424,0.10589044272859195,0.11694593276125786,0.015089146874347462,0.3541242505391817,0.08313328496939955,157,10
dataset_name,RF,LCB,46,207.95750069618225,0.11109224278793327,0.11896867441083506,0.021766374017020494,0.3474337295811023,0.22292647417149164,111,10
dataset_name,RF,LCB,47,153.5511920452118,0.05972483471590491,0.05836543256719281,0.007085414696943249,1.8848090127036774,0.2357132707669572,59,10
dataset_name,RF,LCB,48,155.81691765785217,0.10106022830069593,0.10092959381966946,0.007451514616586262,0.34679852537426203,0.2156713301203626,57,11
dataset_name,RF,LCB,49,192.97037887573242,0.08394116038784769,0.0886963284461453,0.008240759955335806,0.3564716323368331,0.2398705736474936,79,17
