Id,Label,Type,Size
alice,alice,book,250.0
alone,alone,book,250.0
amulet,amulet,book,250.0
beauty,beauty,book,250.0
brass,brass,book,250.0
bunny,bunny,book,250.0
canada,canada,book,250.0
carved,carved,book,250.0
clive,clive,book,250.0
coral,coral,book,250.0
crofton,crofton,book,250.0
cuckoo,cuckoo,book,250.0
daisy,daisy,book,250.0
dominics,dominics,book,250.0
dove,dove,book,250.0
dragons,dragons,book,250.0
dreamdays,dreamdays,book,250.0
duke,duke,book,250.0
eric,eric,book,250.0
fiord,fiord,book,250.0
five,five,book,250.0
flopsy,flopsy,book,250.0
forest,forest,book,250.0
girls,girls,book,250.0
glass,glass,book,250.0
goldenage,goldenage,book,250.0
holiday,holiday,book,250.0
howwhy,howwhy,book,250.0
jackanapes,jackanapes,book,250.0
jemima,jemima,book,250.0
jessica,jessica,book,250.0
jungle,jungle,book,250.0
kidnap,kidnap,book,250.0
leila,leila,book,250.0
masterman,masterman,book,250.0
meg,meg,book,250.0
mice,mice,book,250.0
moonfleet,moonfleet,book,250.0
mopsa,mopsa,book,250.0
mulgars,mulgars,book,250.0
overtheway,overtheway,book,250.0
pan,pan,book,250.0
peasant,peasant,book,250.0
prigio,prigio,book,250.0
prince,prince,book,250.0
princess,princess,book,250.0
quatermain,quatermain,book,250.0
rabbit,rabbit,book,250.0
railway,railway,book,250.0
redclyffe,redclyffe,book,250.0
rival,rival,book,250.0
rose,rose,book,250.0
secret,secret,book,250.0
seekers,seekers,book,250.0
settlers,settlers,book,250.0
solomons,solomons,book,250.0
squirrel,squirrel,book,250.0
stalky,stalky,book,250.0
stiria,stiria,book,250.0
tapestry,tapestry,book,250.0
toadylion,toadylion,book,250.0
tombrown,tombrown,book,250.0
treasure,treasure,book,250.0
unlikely,unlikely,book,250.0
vice,vice,book,250.0
wallypug,wallypug,book,250.0
water,water,book,250.0
willows,willows,book,250.0
wind,wind,book,250.0
winning,winning,book,250.0
woodmagic,woodmagic,book,250.0
Emotional Reconciliation,Emotional Reconciliation,topic,624.9688947093349
Challanges of Growing,Challanges of Growing,topic,728.8687869074677
Motherhood and Care,Motherhood and Care,topic,1006.3229802093284
Financial Transactions,Financial Transactions,topic,815.5815370849613
School Rivalry,School Rivalry,topic,620.1414142678046
Noble Lineage,Noble Lineage,topic,720.1122547822484
Little Animals,Little Animals,topic,999.5721834400933
Fantastic Adventure,Fantastic Adventure,topic,950.9547068473476
Military Engagements,Military Engagements,topic,556.4442710097701
Time and Reflection,Time and Reflection,topic,928.9196365973651
Geological Evolution,Geological Evolution,topic,743.1948600288991
Darkness and Light,Darkness and Light,topic,760.8627677446735
Survival in the Wild,Survival in the Wild,topic,642.3717285970058
Heroic Combat,Heroic Combat,topic,712.5459266134031
Family Dynamics,Family Dynamics,topic,510.01314136289574
Nautical Adventures,Nautical Adventures,topic,679.1249244912927
